lat,lon,DETLOC
33.422542,-112.13236,MCLBJAZ
43.416456,-71.657643,MERRINH
32.748919,-115.561618,IMPCOCA
35.75395,-83.968523,BLOJVTN
25.778078,-80.193509,BOPMIM
41.020896,-92.414962,WAPLOIA
36.66488,-84.43911,BOPMCR
41.389115,-81.443018,SOLONOH
38.09764,-84.566189,BOPLEX
41.158446,-104.560379,JWYTHWY
48.178536,-117.057896,PENDOWA
42.343346,-83.009676,DETHOLD
39.839256,-88.953008,MACONIL
36.076179,-115.102538,LVGHOLD
43.177442,-73.316876,WASCONY
61.601706,-149.110319,AKMATSU
44.047137,-123.021562,SPRNGOR
47.321501,-119.55298,GRANTWA
41.538343,-73.101402,ADDCOVT
42.642207,-73.753072,EQXJVNY
43.251466,-78.223409,NYORLNC
40.398482,-105.07266,LDFHOLD
33.480383,-112.078679,STJOSAZ
27.166719,-80.225016,STUHOLD
42.387944,-83.045724,WAYNEMI
39.366173,-104.862298,DOUGLCO
38.046917,-93.701794,STCLAMO
34.676676,-120.496637,BOPLOF
41.931888,-83.459742,MOYOUMI
29.24862,-95.426878,BRAZITX
30.831411,-85.189884,BOPMNA
44.854147,-73.133491,NWSCFVT
39.615116,-105.012314,ARAPACO
42.912447,-78.867935,CMPJVNY
34.501732,-109.364467,APACHAZ
32.231901,-101.512716,BSCORTX
42.274683,-88.399006,CNTGRIL
33.361357,-104.505641,CHAVENM
32.231901,-101.512716,BSCDRTX
40.085471,-104.984108,FCOHOLD
40.085471,-104.984108,FRDHOLD
33.864782,-112.154656,BOPPHX
40.604192,-75.465618,LEHIGPA
29.714592,-95.437938,WOAKSTX
30.491661,-95.985014,GRIMETX
34.603003,-118.160775,PLRMCCA
43.429487,-76.478608,OSWEGNY
38.203807,-83.472884,RICRANS
34.681231,-120.496076,BOPLOM
35.09181,-81.509127,CHLHOLD
32.749921,-117.12884,SDPROCA
34.786037,-91.898017,LONOKAR
42.884637,-78.878729,ERICONY
42.884637,-78.878729,EIRHONY
42.369451,-71.079185,MIDBIMA
38.035653,-84.912317,FRANKKY
26.124129,-97.633957,DVHOSTX
37.646803,-77.550274,RCMHOLD
48.591779,-109.229409,BLAINMT
38.253428,-85.760465,LOUHOLD
31.994377,-102.074279,MLDHOLD
30.076688,-91.791698,SMCORLA
30.076688,-91.791698,SMMEDLA
32.513543,-93.74873,VVSHOLD
41.424679,-91.044072,MUSCAIA
35.846354,-86.395127,RUTJVTN
44.897202,-122.965461,MARICOR
39.404361,-104.866131,DUGLSCO
42.708548,-73.701559,RENSSNY
48.30916,-116.557026,BONNRID
47.384669,-122.237434,REGJCWA
37.293674,-80.053518,ROANOVA
46.328672,-120.02306,SUNNYWA
39.047714,-95.670284,SHAJUKS
47.422585,-120.31674,CHELAWA
32.65486,-114.632965,MIRPYUM
40.667994,-94.71902,TAYLOIA
32.732776,-94.944452,UPSHUTX
42.497494,-96.406397,WOODBIA
35.898455,-86.885365,WILLITN
38.351712,-81.639107,WVREGWV
33.61795,-114.576374,RIVERCA
41.015761,-78.412095,CLEARPA
30.701539,-93.825978,SUSSENJ
45.778038,-108.498261,YELYSMT
43.428064,-96.169499,LYONJIA
36.867477,-87.490377,CHRISKY
41.44725,-97.055856,COLFANE
42.641121,-95.178168,BUENAIA
38.41044,-75.60181,WICOMMD
47.215677,-123.10329,MASONWA
46.883885,-117.36349,WHICOWA
38.843288,-77.308506,FAICOVA
30.840764,-93.286346,BEAURLA
45.663847,-97.047123,ROBERSD
30.257551,-81.591085,JAXHOLD
46.707449,-111.957961,PARKCMT
30.49017,-99.764226,KIMBLTX
35.667848,-97.745246,PIEPDOK
35.192414,-114.052614,MOHAVAZ
35.089282,-106.650886,BERNANM
42.761057,-104.450893,NIOBRWY
43.647213,-108.208881,HOTSPWY
38.302521,-76.627682,SMARYMD
42.515678,-73.215515,CTMANYI
42.116944,-88.033219,WAUKEIL
43.506056,-96.745956,MIJUVSD
40.587247,-98.439651,NEHASTI
39.075997,-77.549905,LOUCOVA
30.179959,-96.93793,LEECOTX
37.774834,-122.405444,SFCOJCA
35.267623,-81.181986,GASTNNC
42.557921,-114.467283,TFALLID
39.701056,-111.822889,JUABCUT
46.259316,-84.451164,MICHIRE
41.433217,-96.498712,DODGENE
42.72115,-94.213637,HUMBOIA
35.56326,-106.05368,SFCORNM
30.722822,-85.930316,PAVHRPR
42.612462,-82.882341,MACCOMI
43.018245,-96.076537,SIOUXIA
30.275952,-91.918375,SMPARLA
39.776587,-104.846952,DRURYCO
36.983015,-86.434736,WARREKY
41.806445,-80.946048,GENEVOH
42.149922,-77.062442,SENECNY
35.424242,-97.59675,OKCHOLD
33.776421,-84.244643,DEKALGA
34.442477,-119.778793,SBARBCA
39.778517,-104.865679,EMBSYCO
35.410801,-86.130471,HILLSNH
32.574785,-116.919093,EMESACA
32.574785,-116.919093,BAILECA
37.266256,-107.01181,ARCHUCO
39.859005,-77.159231,ADAMSPA
46.86597,-96.836535,CASSCND
33.023427,-111.403053,CAMEDAZ
34.059054,-118.231429,LOSCJCA
35.018129,-94.389464,HARHOLD
42.845283,-108.725149,FREMOWY
40.655734,-73.944873,KCHOSNY
34.702145,-118.236615,LANCACA
29.847569,-94.129733,BOPBML
29.847569,-94.129733,BOPBMP
29.847569,-94.129733,BOPBMM
34.088712,-118.073502,BHCALCA
40.739409,-73.976699,BEHOSNY
42.927145,-78.82922,ECMCBNY
42.23363,-83.494934,VNBRNMI
40.513667,-107.544929,CRGHOLD
45.674447,-118.849346,UMATCOR
32.575603,-116.919152,CACFDON
31.115849,-97.674499,BELJUTX
39.740009,-104.991653,VANCCO
34.054926,-117.754163,POMONCA
34.196216,-84.492662,CHEROGA
31.849819,-91.934689,CATAHLA
60.583197,-151.299965,AKWILPT
44.598194,-75.16884,STLAWNY
41.403916,-95.014423,CASSCIA
40.888954,-72.505524,CTGARCI
39.962022,-83.002406,CLMHOLD
32.633183,-117.076747,SOBAYCA
47.602982,-122.328536,KINCOWA
30.241964,-93.377471,SULPHLA
30.326131,-81.650064,DUVALFL
47.950383,-124.378443,FORKSWA
43.552521,-96.731349,MINNESD
37.624123,-104.782935,HUERFCO
38.483781,-94.935875,OSAHOKS
45.629578,-122.675988,CLJUVWA
39.638329,-77.764521,WASHIMD
38.738205,-85.822484,CLARKID
43.155131,-98.538831,CHARLSD
40.252548,-76.834523,DAUPHPA
41.86049,-88.142516,DUPAGIL
43.194046,-112.344097,BINGHID
39.477425,-106.047153,SUMMICO
38.644395,-90.342897,SLJUVMO
31.557565,-97.132846,MCCLETX
41.536366,-109.297502,SWEETWY
40.175335,-122.236667,TEHAMCA
32.295363,-90.182473,USMSDMS
39.960001,-76.348233,AGC
39.190482,-106.81799,PITKICO
37.708292,-120.194511,CACCJAM
27.87829,-97.324076,POMHOLD
42.099325,-102.869419,BOXBUNE
27.495368,-82.572613,BRADEFL
40.271763,-103.628002,BRCHOLD
43.022284,-88.221226,WAUKEWI
42.972587,-85.670087,GRMHOLD
35.319584,-82.455384,HENHOLD
39.566107,-95.119226,ATCHIKS
46.321035,-111.515965,BROADMT
31.389727,-103.52882,REJAITX
47.086246,-119.215122,PISCAME
31.558181,-97.133912,MCCDCTX
43.092112,-79.022955,NIACINY
32.783948,-109.719355,GRAHAAZ
36.848229,-76.397683,EASTEVA
31.181654,-105.357551,HUDSPTX
44.975082,-93.262553,HEADCMN
